win_num,win_start,win_end,CNVs,unique_count_groupA,unique_count_not_groupA
97,960001,970000.0,"[946208, 960788, 965732, 968441]",40,455
98,970001,980000.0,[965732],0,1
99,980001,990000.0,[982174],4,41
100,990001,1000000.0,[995046],0,1
101,1000001,1010000.0,[1009977],1,14
102,1010001,1020000.0,"[1009977, 1019788]",2,19
103,1020001,1030000.0,"[1022078, 1025459, 1029693]",4,93
104,1030001,1040000.0,"[1032362, 1032485, 1032831, 1035448, 1036649]",14,225
105,1040001,1050000.0,[1044781],0,1
106,1050001,1060000.0,"[1044781, 1050534, 1055658, 1058849, 1058907, 1059888]",24,579
107,1060001,1070000.0,"[1058849, 1061551, 1069902]",46,813
108,1070001,1080000.0,"[1069902, 1072686, 1078018, 1078639]",1213,15960
109,1080001,1090000.0,"[1072686, 1078018, 1085333]",1,6
110,1090001,1100000.0,"[1095531, 1099579]",6,59
111,1100001,1110000.0,"[1105719, 1107492]",4,106
112,1110001,1120000.0,"[1113740, 1116549]",1,2
113,1120001,1130000.0,"[1116549, 1120852, 1121177, 1121630, 1124227, 1124981, 1129482]",9597,126253
114,1130001,1140000.0,"[1132245, 1137230]",5,56
115,1140001,1150000.0,"[1137230, 1146098, 1146444, 1148917]",1,9
116,1150001,1160000.0,"[1146444, 1148917, 1150485, 1151700, 1154633, 1155041, 1155242, 1155480, 1155958, 1158739]",118,1587
117,1160001,1170000.0,"[1158739, 1163526, 1169445]",14,243
118,1170001,1180000.0,"[1173385, 1179587]",5348,68989
119,1180001,1190000.0,"[1185166, 1186611, 1186687, 1187492, 1189823]",6,84
120,1190001,1200000.0,"[1187492, 1189823, 1190541, 1190871]",23,358
121,1200001,1210000.0,"[1201805, 1204577, 1204798, 1208924]",5712,75584
122,1210001,1220000.0,"[1217462, 1217957, 1219830]",0,3
123,1220001,1230000.0,"[1217462, 1219830]",0,2
124,1230001,1240000.0,"[1230246, 1233207]",0,3
125,1240001,1250000.0,"[1242701, 1247708, 1248237]",15,182
126,1250001,1260000.0,"[1247708, 1250848]",0,2
127,1260001,1270000.0,"[1260149, 1265150]",0,6
128,1270001,1280000.0,"[1270107, 1271134, 1274380, 1276447]",0,8
129,1280001,1290000.0,"[1286035, 1286591, 1286965, 1287065, 1289752]",26,351
130,1290001,1300000.0,"[1292661, 1295416]",0,12
131,1300001,1310000.0,"[1300589, 1302626, 1304597, 1305144, 1305950, 1306727, 1309180]",0,22
132,1310001,1320000.0,"[1316959, 1319034]",1,5
133,1320001,1330000.0,"[1316959, 1319034]",1,5
134,1330001,1340000.0,"[1336049, 1339737]",5,37
135,1340001,1350000.0,"[1339737, 1340521, 1343679, 1345107, 1345156]",1549,20583
136,1350001,1360000.0,"[1351367, 1354451, 1355547]",1,45
137,1360001,1370000.0,"[1361625, 1368704]",0,6
138,1370001,1380000.0,"[1374646, 1379304]",0,7
139,1380001,1390000.0,"[1379304, 1384037]",0,10
140,1390001,1400000.0,"[1390129, 1393808, 1396185]",1696,22690
141,1400001,1410000.0,"[1402105, 1402502, 1408260]",1,2
142,1410001,1420000.0,[1408260],0,1
143,1420001,1430000.0,"[1422283, 1428972, 1429235]",1115,16768
144,1430001,1440000.0,"[1436666, 1438461, 1439192]",1,8
145,1440001,1450000.0,[1445091],0,4
146,1450001,1460000.0,"[1452592, 1452613, 1454751, 1457201, 1457723]",70,900
147,1460001,1470000.0,"[1460095, 1461800]",0,3
148,1470001,1480000.0,"[1470653, 1471672, 1478680]",1,6
149,1480001,1490000.0,"[1484534, 1485066, 1486132, 1487222, 1489989]",0,9
150,1490001,1500000.0,"[1489989, 1491132, 1491720, 1493440, 1496770, 1497878, 1499341]",0,15
151,1500001,1510000.0,"[1497878, 1505251]",0,10
152,1510001,1520000.0,"[1511201, 1517235]",0,2
153,1520001,1530000.0,[1522128],4,219
154,1530001,1540000.0,"[1530403, 1533601]",1,8
156,1550001,1560000.0,[1557817],0,1
157,1560001,1570000.0,[1562071],0,1
158,1570001,1580000.0,"[1572020, 1576470, 1577787]",2,46
159,1580001,1590000.0,"[1577787, 1588694]",0,5
160,1590001,1600000.0,"[1577787, 1588694, 1590206, 1598098]",1,21
161,1600001,1610000.0,"[1588694, 1607054]",0,2
162,1610001,1620000.0,[1588694],0,1
163,1620001,1630000.0,"[1588694, 1622839, 1623842, 1626908, 1627933]",3,37
164,1630001,1640000.0,"[1588694, 1622839, 1623842, 1627933, 1636950, 1639837]",3,38
165,1640001,1650000.0,"[1588694, 1627933, 1639837, 1640234, 1641724]",10341,135948
166,1650001,1660000.0,"[1588694, 1627933, 1652539, 1655296, 1657357, 1657423]",1,16
167,1660001,1670000.0,"[1588694, 1657357, 1657423, 1660209, 1668094, 1669543]",2,9
168,1670001,1680000.0,"[1588694, 1668094, 1669543, 1671319, 1674407, 1677475]",2,29
170,1690001,1700000.0,"[1690455, 1692941, 1695228, 1695715, 1695757, 1697512, 1699207]",7,97
171,1700001,1710000.0,"[1701277, 1702111, 1706661, 1708208, 1708392]",7,49
172,1710001,1720000.0,"[1708208, 1708392, 1712031, 1713566, 1714127]",0,18
173,1720001,1730000.0,"[1714127, 1729034]",0,13
174,1730001,1740000.0,"[1731924, 1733223, 1736521, 1736743, 1739590]",9,248
175,1740001,1750000.0,"[1733223, 1742799, 1745709]",3,95
176,1750001,1760000.0,"[1754355, 1756132]",148,1954
177,1760001,1770000.0,[1766401],0,1
178,1770001,1780000.0,"[1772283, 1773708, 1777340]",2,20
179,1780001,1790000.0,[1784812],0,1
180,1790001,1800000.0,"[1792251, 1795212, 1796145, 1796650]",0,7
181,1800001,1810000.0,"[1804125, 1806306, 1807015]",2091,27323
182,1810001,1820000.0,"[1807015, 1811146, 1814338, 1814457]",3,41
183,1820001,1830000.0,"[1825592, 1826003, 1828927]",32,590
185,1840001,1850000.0,"[1846355, 1846753]",1,4
186,1850001,1860000.0,"[1846355, 1851220, 1852094, 1852805, 1855574, 1858656]",1,12
187,1860001,1870000.0,"[1858656, 1862754, 1864096, 1864777, 1867018, 1869403]",8,122
188,1870001,1880000.0,"[1873845, 1875060, 1879106]",980,12630
189,1880001,1890000.0,"[1879106, 1880968]",1,8
190,1890001,1900000.0,"[1891046, 1894348, 1894481, 1895199, 1897868]",4,15
191,1900001,1910000.0,"[1895199, 1901162]",0,2
192,1910001,1920000.0,"[1914199, 1914218, 1914275, 1919061]",7,208
193,1920001,1930000.0,"[1919061, 1923732, 1928302, 1929825]",215,3253
195,1940001,1950000.0,[1942406],2,7
198,1970001,1980000.0,[1978520],3,38
205,2040001,2050000.0,"[2042133, 2047888]",4,53
206,2050001,2060000.0,"[2051549, 2055506, 2055521]",1,19
207,2060001,2070000.0,"[2062978, 2067523]",0,2
208,2070001,2080000.0,[2078288],2,8
209,2080001,2090000.0,"[2085143, 2089477, 2089654]",1,2
210,2090001,2100000.0,[2093681],0,1
211,2100001,2110000.0,"[2101058, 2104525]",1,10
212,2110001,2120000.0,"[2110502, 2112139]",2,14
213,2120001,2130000.0,"[2120128, 2121708, 2122402, 2124044, 2124944]",2,37
214,2130001,2140000.0,[2138129],1,6
217,2160001,2170000.0,[2163732],0,1
218,2170001,2180000.0,"[2173343, 2173701, 2177808]",37,1030
219,2180001,2190000.0,[2173701],0,1
220,2190001,2200000.0,"[2194081, 2194825]",9186,120429
222,2210001,2220000.0,"[2215612, 2218731, 2219379]",1,6
223,2220001,2230000.0,[2223072],1,17
224,2230001,2240000.0,"[2223072, 2237745]",1,18
225,2240001,2250000.0,"[2245163, 2246951]",0,2
226,2250001,2260000.0,[2245163],0,1
227,2260001,2270000.0,"[2260508, 2260803, 2262429, 2268035, 2269654]",0,22
228,2270001,2280000.0,"[2276728, 2277582, 2278489]",1,7
229,2280001,2290000.0,"[2278489, 2284239]",0,6
230,2290001,2300000.0,[2278489],0,3
231,2300001,2310000.0,"[2303709, 2304304, 2306692]",16,168
232,2310001,2320000.0,"[2311792, 2312750, 2312861, 2315918, 2317200, 2318064]",0,11
233,2320001,2330000.0,"[2318064, 2322495]",0,2
234,2330001,2340000.0,"[2332196, 2334748]",1,3
235,2340001,2350000.0,[2332196],1,0
236,2350001,2360000.0,"[2332196, 2352100]",4,11
237,2360001,2370000.0,"[2332196, 2362723, 2367226, 2368037]",389,5456
238,2370001,2380000.0,"[2332196, 2379565]",1,1
239,2380001,2390000.0,"[2332196, 2379565, 2385603]",10180,133567
240,2390001,2400000.0,"[2332196, 2396443]",1,1
241,2400001,2410000.0,"[2332196, 2400083, 2406812, 2408633]",1,7
242,2410001,2420000.0,"[2332196, 2414528]",1,1
243,2420001,2430000.0,"[2332196, 2414528, 2422055, 2423854, 2426859, 2428817, 2428918, 2429051, 2429061, 2429387]",52,810
244,2430001,2440000.0,"[2332196, 2414528, 2428918, 2429387, 2430827]",21,298
245,2440001,2450000.0,"[2414528, 2444150, 2444616, 2445227]",13,161
246,2450001,2460000.0,"[2414528, 2452174, 2459240]",4,36
247,2460001,2470000.0,"[2459240, 2461944, 2469799]",2,7
248,2470001,2480000.0,[2469799],1,6
249,2480001,2490000.0,"[2480121, 2482025, 2482966]",0,8
250,2490001,2500000.0,"[2482025, 2491304, 2496726, 2498930]",0,5
251,2500001,2510000.0,"[2498930, 2508535]",0,2
252,2510001,2520000.0,"[2508535, 2513113, 2513613, 2515016]",1,6
253,2520001,2530000.0,"[2508535, 2523325]",0,2
254,2530001,2540000.0,"[2508535, 2536690]",2,86
255,2540001,2550000.0,"[2508535, 2541487, 2545625]",0,7
256,2550001,2560000.0,[2508535],0,1
257,2560001,2570000.0,"[2508535, 2567692]",0,3
258,2570001,2580000.0,"[2508535, 2574739, 2575272]",0,9
259,2580001,2590000.0,"[2508535, 2585448, 2589537]",0,8
260,2590001,2600000.0,"[2508535, 2593337, 2593711]",6,121
261,2600001,2610000.0,"[2508535, 2593711, 2601096, 2603015, 2605560]",1,52
262,2610001,2620000.0,"[2508535, 2603015, 2605560, 2619497]",0,9
263,2620001,2630000.0,"[2508535, 2619497]",0,2
264,2630001,2640000.0,[2508535],0,1
265,2640001,2650000.0,"[2508535, 2640419, 2643717]",0,17
266,2650001,2660000.0,[2658930],0,1
267,2660001,2670000.0,[2663529],0,1
269,2680001,2690000.0,[2688080],0,1
270,2690001,2700000.0,"[2692197, 2699733]",14,219
272,2710001,2720000.0,[2714570],0,3
273,2720001,2730000.0,"[2726463, 2729856]",1,3
274,2730001,2740000.0,"[2731343, 2736510, 2738208]",1,15
275,2740001,2750000.0,"[2736510, 2740992, 2744028, 2746143]",0,5
276,2750001,2760000.0,"[2759094, 2759283]",0,2
277,2760001,2770000.0,"[2759094, 2759283, 2764822]",0,3
278,2770001,2780000.0,"[2764822, 2772327, 2773193, 2773265]",2,16
279,2780001,2790000.0,"[2780079, 2780450]",0,2
280,2790001,2800000.0,"[2792876, 2793406, 2797206]",4228,54104
281,2800001,2810000.0,[2807519],1,27
282,2810001,2820000.0,[2817083],0,1
283,2820001,2830000.0,"[2823485, 2824164]",0,2
284,2830001,2840000.0,"[2835024, 2836005, 2836154, 2837489]",4,70
285,2840001,2850000.0,"[2841041, 2848502]",0,2
286,2850001,2860000.0,"[2848502, 2856500]",6228,82164
287,2860001,2870000.0,[2860959],0,2
290,2890001,2900000.0,"[2897100, 2897837]",225,3829
291,2900001,2910000.0,"[2897100, 2902289]",1,4
292,2910001,2920000.0,"[2912586, 2914400, 2916955, 2918818]",0,18
293,2920001,2930000.0,"[2922445, 2923323]",0,2
294,2930001,2940000.0,"[2930253, 2938435, 2938821, 2939385]",7108,94686
295,2940001,2950000.0,"[2942622, 2943181, 2949153]",2,22
296,2950001,2960000.0,"[2949153, 2950305, 2953375, 2958542]",0,17
297,2960001,2970000.0,"[2961209, 2964975, 2967854, 2968442]",0,23
298,2970001,2980000.0,"[2972376, 2975367]",1,1
299,2980001,2990000.0,"[2981683, 2989271]",0,4
300,2990001,3000000.0,"[2989271, 2990046]",0,2
301,3000001,3010000.0,"[3003636, 3009626]",0,2
302,3010001,3020000.0,[3009626],0,1
303,3020001,3030000.0,[3024166],0,3
304,3030001,3040000.0,"[3032185, 3036065]",0,3
305,3040001,3050000.0,"[3045010, 3045539, 3047793, 3049159, 3049941]",0,7
306,3050001,3060000.0,"[3045010, 3049159, 3049941, 3055388]",0,6
307,3060001,3070000.0,"[3055388, 3061808, 3061905, 3062354, 3068794]",0,7
308,3070001,3080000.0,"[3061905, 3068794, 3078290]",0,7
309,3080001,3090000.0,[3078290],0,5
310,3090001,3100000.0,"[3090967, 3094439]",1,1
311,3100001,3110000.0,"[3101700, 3106897, 3109680]",0,5
312,3110001,3120000.0,"[3106897, 3116151, 3118109]",1,7
313,3120001,3130000.0,"[3126630, 3127532]",0,6
315,3140001,3150000.0,"[3141126, 3141653, 3146240, 3147726, 3149256]",0,10
316,3150001,3160000.0,"[3141653, 3147726, 3149256, 3157183]",0,8
317,3160001,3170000.0,"[3141653, 3164145, 3166672, 3167199, 3168744]",1,4
318,3170001,3180000.0,"[3141653, 3167199, 3168744, 3174339]",0,5
319,3180001,3190000.0,"[3141653, 3168744, 3187233, 3188295, 3189340]",0,6
320,3190001,3200000.0,"[3141653, 3187233, 3188295, 3195611, 3199312]",5097,66582
321,3200001,3210000.0,[3207020],0,4
322,3210001,3220000.0,"[3216168, 3217508, 3219883]",1347,16958
323,3220001,3230000.0,"[3217508, 3221385, 3224444]",1023,13039
324,3230001,3240000.0,"[3231732, 3232578, 3236744]",4,58
325,3240001,3250000.0,[3242586],0,1
330,3290001,3300000.0,[3293421],272,3972
334,3330001,3340000.0,[3339289],0,2
335,3340001,3350000.0,"[3340796, 3346633, 3348449]",0,3
336,3350001,3360000.0,"[3348449, 3353897, 3357464]",1,15
337,3360001,3370000.0,"[3364457, 3369123]",5,91
338,3370001,3380000.0,"[3370930, 3375287]",0,3
339,3380001,3390000.0,"[3383615, 3383657, 3384692, 3386950, 3387087, 3387546, 3389333]",6,77
340,3390001,3400000.0,"[3390131, 3390481, 3393285, 3396601, 3397382, 3398717, 3398854]",18,368
341,3400001,3410000.0,"[3393285, 3398717, 3400181, 3401731, 3403085, 3403248]",7,149
342,3410001,3420000.0,"[3393285, 3403085, 3410390, 3411434, 3411947, 3415356, 3416116, 3416513]",3,8
343,3420001,3430000.0,"[3393285, 3403085, 3416513, 3422726, 3423308, 3424459, 3427196, 3428678]",4,12
344,3430001,3440000.0,"[3393285, 3430355, 3432364, 3432406, 3433545, 3436400, 3437130]",1,14
345,3440001,3450000.0,"[3393285, 3437130, 3440506, 3445793, 3448797]",2,13
346,3450001,3460000.0,"[3393285, 3437130, 3445793, 3459232]",2,7
347,3460001,3470000.0,"[3393285, 3437130, 3445793, 3459232, 3460967, 3465624, 3468430]",2,10
348,3470001,3480000.0,"[3445793, 3472575, 3472765, 3475143, 3475724, 3479589]",1015,13157
349,3480001,3490000.0,"[3445793, 3486789, 3487471, 3489975]",1,15
350,3490001,3500000.0,"[3445793, 3486789, 3489975, 3490630, 3491986, 3492712, 3496868, 3498708]",5,61
351,3500001,3510000.0,"[3445793, 3508680]",2,2
352,3510001,3520000.0,"[3445793, 3513038, 3517780]",1,12
353,3520001,3530000.0,"[3445793, 3520180, 3528495, 3529275, 3529913]",12,439
354,3530001,3540000.0,"[3445793, 3529275, 3529913, 3537143, 3539203, 3539635]",1,19
355,3540001,3550000.0,"[3445793, 3529275, 3542551]",1,4
356,3550001,3560000.0,"[3445793, 3529275, 3551683, 3558569, 3559358]",2,13
357,3560001,3570000.0,"[3445793, 3529275, 3559358, 3560738, 3561137]",2,9
358,3570001,3580000.0,"[3574905, 3575502]",0,3
359,3580001,3590000.0,"[3585454, 3585647, 3586391]",0,3
360,3590001,3600000.0,"[3592454, 3596735]",0,11
361,3600001,3610000.0,[3605815],0,3
363,3620001,3630000.0,"[3620529, 3624947, 3627908, 3628322, 3629609]",2,23
364,3630001,3640000.0,"[3629609, 3630605, 3632211, 3635906]",47,632
365,3640001,3650000.0,"[3641092, 3642489, 3642923, 3643250, 3643285, 3643286]",4,53
367,3660001,3670000.0,"[3662582, 3664334]",0,20
368,3670001,3680000.0,[3677182],0,1
370,3690001,3700000.0,"[3691660, 3693772, 3695919, 3699697, 3699776]",0,13
371,3700001,3710000.0,"[3699697, 3705851, 3705948]",0,5
372,3710001,3720000.0,"[3711290, 3718818]",0,16
373,3720001,3730000.0,[3722664],0,2
374,3730001,3740000.0,"[3731068, 3737484]",0,2
375,3740001,3750000.0,"[3737484, 3744142, 3746150, 3746809]",0,5
376,3750001,3760000.0,[3750214],0,1
378,3770001,3780000.0,"[3779388, 3779792]",2,15
379,3780001,3790000.0,"[3779388, 3779792, 3780347, 3783436, 3789539]",2,21
380,3790001,3800000.0,"[3792042, 3798531, 3798873]",2,48
381,3800001,3810000.0,"[3798873, 3802506, 3803220, 3804961, 3806912]",1,36
382,3810001,3820000.0,"[3812398, 3817573]",13,193
383,3820001,3830000.0,[3817573],13,192
385,3840001,3850000.0,"[3842204, 3843945]",0,4
386,3850001,3860000.0,"[3842204, 3854198]",0,4
387,3860001,3870000.0,"[3861436, 3862724, 3866459]",3,20
388,3870001,3880000.0,"[3866459, 3871914, 3877486]",1,10
389,3880001,3890000.0,"[3871914, 3880994, 3882249, 3882307, 3884092]",0,7
390,3890001,3900000.0,"[3882249, 3884092]",0,3
391,3900001,3910000.0,"[3882249, 3901019, 3904151, 3907337]",1,4
392,3910001,3920000.0,"[3882249, 3904151, 3907337, 3915611, 3916515, 3916846]",3,6
393,3920001,3930000.0,"[3916515, 3921622, 3922122, 3923490, 3925660, 3928640]",368,4778
394,3930001,3940000.0,[3925660],1,2
395,3940001,3950000.0,[3925660],1,2
396,3950001,3960000.0,"[3953434, 3958890]",1,4
397,3960001,3970000.0,"[3958890, 3961125]",11,325
398,3970001,3980000.0,"[3971772, 3976991]",0,3
399,3980001,3990000.0,"[3980693, 3980784, 3983400]",0,16
400,3990001,4000000.0,"[3993664, 3998178]",1,5
402,4010001,4020000.0,"[4011894, 4014595, 4016612, 4018304]",3,50
403,4020001,4030000.0,[4024139],0,1
404,4030001,4040000.0,[4037447],4,36
405,4040001,4050000.0,[4045913],0,1
406,4050001,4060000.0,[4045913],0,1
407,4060001,4070000.0,[4068968],0,1
410,4090001,4100000.0,[4093531],0,1
411,4100001,4110000.0,"[4101514, 4102606, 4104973]",0,5
415,4140001,4150000.0,"[4143255, 4143705, 4145303]",0,3
416,4150001,4160000.0,"[4145303, 4150568]",56,569
418,4170001,4180000.0,[4172054],0,17
420,4190001,4200000.0,"[4191991, 4198506]",0,3
421,4200001,4210000.0,"[4198506, 4205355]",0,2
422,4210001,4220000.0,"[4205355, 4210230, 4211245, 4211506, 4216776]",0,5
423,4220001,4230000.0,"[4221376, 4222666]",0,16
424,4230001,4240000.0,"[4231546, 4237718, 4238421]",39,482
425,4240001,4250000.0,"[4240296, 4241227, 4241882, 4248001]",0,8
426,4250001,4260000.0,"[4241882, 4250728, 4250923, 4251222, 4251955, 4254774, 4259589]",10,164
427,4260001,4270000.0,"[4241882, 4250923, 4254774, 4262008, 4264160]",8,157
428,4270001,4280000.0,"[4241882, 4250923, 4254774, 4264160, 4277334]",7,142
429,4280001,4290000.0,"[4241882, 4250923, 4254774, 4264160, 4277334, 4286715]",36,617
430,4290001,4300000.0,"[4241882, 4250923, 4254774, 4264160, 4277334]",7,142
431,4300001,4310000.0,"[4241882, 4250923, 4254774, 4264160, 4277334, 4301184, 4305572, 4305620]",10,178
432,4310001,4320000.0,"[4241882, 4254774, 4277334, 4305620, 4314922, 4315957, 4317867]",4,46
433,4320001,4330000.0,"[4241882, 4254774, 4277334, 4305620, 4314922, 4317867, 4320929, 4321138, 4321736, 4322901, 4326641]",17,229
434,4330001,4340000.0,"[4241882, 4254774, 4277334, 4305620, 4337412]",3,43
435,4340001,4350000.0,"[4241882, 4277334, 4346595]",0,7
436,4350001,4360000.0,"[4241882, 4277334, 4346595, 4350540, 4351665, 4352285, 4355710, 4357141, 4359436]",3,45
437,4360001,4370000.0,"[4241882, 4277334, 4346595, 4355710, 4359436, 4362508, 4363769, 4365071, 4369361]",3,14
438,4370001,4380000.0,"[4241882, 4277334, 4346595, 4359436, 4363769, 4365071, 4369361, 4370613, 4371192, 4376592]",0,15
439,4380001,4390000.0,"[4241882, 4277334, 4346595, 4359436, 4363769, 4380780]",0,17
440,4390001,4400000.0,"[4241882, 4346595, 4359436, 4363769, 4380780, 4393315, 4397322, 4397764, 4397983, 4398712]",2,51
441,4400001,4410000.0,"[4241882, 4346595, 4359436, 4363769, 4380780, 4397764]",0,14
442,4410001,4420000.0,"[4241882, 4346595, 4363769, 4380780, 4397764, 4412300, 4417320]",0,16
443,4420001,4430000.0,"[4241882, 4346595, 4363769, 4380780, 4397764, 4412300, 4420384, 4421420, 4422849, 4424579, 4428536]",3,22
444,4430001,4440000.0,"[4241882, 4346595, 4363769, 4380780, 4397764, 4412300, 4420384, 4424579, 4433455, 4434941, 4436954]",3,20
445,4440001,4450000.0,"[4346595, 4363769, 4380780, 4412300, 4420384, 4424579, 4445038, 4445879, 4446142, 4448665]",3,18
446,4450001,4460000.0,"[4346595, 4363769, 4380780, 4412300, 4420384, 4424579, 4446142, 4448665, 4452030, 4452054, 4452762, 4458271]",4,27
447,4460001,4470000.0,"[4346595, 4363769, 4380780, 4412300, 4424579, 4446142, 4452762, 4458271, 4466337, 4467781]",7,87
448,4470001,4480000.0,"[4346595, 4363769, 4380780, 4412300, 4452762, 4458271, 4467781]",0,24
449,4480001,4490000.0,"[4346595, 4363769, 4380780, 4412300, 4452762, 4458271, 4480004, 4484162, 4486586, 4487486]",3,78
